filepath,subject,mode,capture_label,predicted_label,final_label,reviewed
raw\user5\s20260528_221649\0069.jpg,user5,posed,disgust,fear,disgust,True
raw\user5\s20260528_221649\0070.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0071.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0072.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0073.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0074.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0075.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0076.jpg,user5,posed,neutral,anger,neutral,True
raw\user5\s20260528_221649\0077.jpg,user5,posed,neutral,sadness,neutral,True
raw\user5\s20260528_221649\0078.jpg,user5,posed,neutral,anger,neutral,True
raw\user5\s20260528_221649\0079.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0080.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0081.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0082.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0083.jpg,user5,posed,surprise,fear,surprise,True
raw\user5\s20260528_221649\0084.jpg,user5,posed,surprise,anger,surprise,True
raw\user5\s20260528_221649\0085.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0086.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0087.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0088.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0089.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0090.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0091.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0092.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0093.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0094.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0095.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0096.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0097.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0098.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0099.jpg,user5,posed,contempt,anger,contempt,True
raw\user5\s20260528_221649\0100.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0101.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0102.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0103.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0104.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0105.jpg,user5,posed,happiness,fear,happiness,True
raw\user5\s20260528_221649\0106.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0107.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0108.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0109.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0110.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0111.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0112.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0113.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0114.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0115.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0116.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0117.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0118.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0119.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0120.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0121.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0122.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0123.jpg,user5,posed,contempt,neutral,contempt,True
