filepath,subject,session,mode,capture_label,timestamp
raw\user5\s20260528_220743\0004.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:55
raw\user5\s20260528_220743\0005.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:55
raw\user5\s20260528_220743\0006.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:55
raw\user5\s20260528_220743\0010.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:08:33
raw\user5\s20260528_220743\0011.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:08:33
raw\user5\s20260528_220743\0012.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:08:33
raw\user5\s20260528_221649\0001.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:17:12
raw\user5\s20260528_221649\0002.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:17:12
raw\user5\s20260528_221649\0003.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:17:12
raw\user5\s20260528_221649\0004.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:17:23
raw\user5\s20260528_221649\0005.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:17:23
raw\user5\s20260528_221649\0006.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:17:24
raw\user5\s20260528_221649\0007.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:17:31
raw\user5\s20260528_221649\0008.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:17:32
raw\user5\s20260528_221649\0009.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:17:32
raw\user5\s20260528_221649\0010.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:17:46
raw\user5\s20260528_221649\0011.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:17:46
raw\user5\s20260528_221649\0012.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:17:47
raw\user5\s20260528_221649\0013.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:17:59
raw\user5\s20260528_221649\0014.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:17:59
raw\user5\s20260528_221649\0015.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:17:59
raw\user5\s20260528_221649\0016.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:18:14
raw\user5\s20260528_221649\0017.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:18:14
raw\user5\s20260528_221649\0018.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:18:14
raw\user5\s20260528_221649\0019.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:18:24
raw\user5\s20260528_221649\0020.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:18:24
raw\user5\s20260528_221649\0021.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:18:24
raw\user5\s20260528_221649\0022.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:18:43
raw\user5\s20260528_221649\0023.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:18:43
raw\user5\s20260528_221649\0024.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:18:44
raw\user5\s20260528_221649\0025.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:24:27
raw\user5\s20260528_221649\0026.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:24:27
raw\user5\s20260528_221649\0027.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:24:27
raw\user5\s20260528_221649\0028.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:24:38
raw\user5\s20260528_221649\0029.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:24:38
raw\user5\s20260528_221649\0030.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:24:38
raw\user5\s20260528_221649\0031.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:24:43
raw\user5\s20260528_221649\0032.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:24:44
raw\user5\s20260528_221649\0033.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:24:44
raw\user5\s20260528_221649\0037.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:25:33
raw\user5\s20260528_221649\0038.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:25:33
raw\user5\s20260528_221649\0039.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:25:33
raw\user5\s20260528_221649\0040.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:25:39
raw\user5\s20260528_221649\0041.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:25:39
raw\user5\s20260528_221649\0042.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:25:39
raw\user5\s20260528_221649\0043.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:25:50
raw\user5\s20260528_221649\0044.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:25:50
raw\user5\s20260528_221649\0045.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:25:50
raw\user5\s20260528_221649\0046.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:26:01
raw\user5\s20260528_221649\0047.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:26:01
raw\user5\s20260528_221649\0048.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:26:02
raw\user5\s20260528_221649\0049.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:26:10
raw\user5\s20260528_221649\0050.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:26:10
raw\user5\s20260528_221649\0051.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:26:10
raw\user5\s20260528_221649\0052.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:28:28
raw\user5\s20260528_221649\0053.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:28:29
raw\user5\s20260528_221649\0054.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:28:29
raw\user5\s20260528_221649\0055.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:28:37
raw\user5\s20260528_221649\0056.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:28:38
raw\user5\s20260528_221649\0057.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:28:38
raw\user5\s20260528_221649\0058.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:28:45
raw\user5\s20260528_221649\0059.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:28:46
raw\user5\s20260528_221649\0060.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:28:46
raw\user5\s20260528_221649\0061.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:28:55
raw\user5\s20260528_221649\0062.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:28:55
raw\user5\s20260528_221649\0063.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:28:55
raw\user5\s20260528_221649\0064.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:29:01
raw\user5\s20260528_221649\0065.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:29:01
raw\user5\s20260528_221649\0066.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:29:01
raw\user5\s20260528_221649\0067.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:29:16
raw\user5\s20260528_221649\0068.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:29:16
raw\user5\s20260528_221649\0069.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:29:17
raw\user5\s20260528_221649\0070.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:29:21
raw\user5\s20260528_221649\0071.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:29:22
raw\user5\s20260528_221649\0072.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:29:22
raw\user5\s20260528_221649\0073.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:29:40
raw\user5\s20260528_221649\0074.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:29:40
raw\user5\s20260528_221649\0075.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:29:41
raw\user5\s20260528_221649\0076.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:38:54
raw\user5\s20260528_221649\0077.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:38:54
raw\user5\s20260528_221649\0078.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:38:55
raw\user5\s20260528_221649\0079.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:39:00
raw\user5\s20260528_221649\0080.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:39:01
raw\user5\s20260528_221649\0081.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:39:01
raw\user5\s20260528_221649\0082.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:39:06
raw\user5\s20260528_221649\0083.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:39:06
raw\user5\s20260528_221649\0084.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:39:06
raw\user5\s20260528_221649\0085.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:39:10
raw\user5\s20260528_221649\0086.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:39:10
raw\user5\s20260528_221649\0087.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:39:10
raw\user5\s20260528_221649\0088.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:39:13
raw\user5\s20260528_221649\0089.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:39:13
raw\user5\s20260528_221649\0090.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:39:13
raw\user5\s20260528_221649\0091.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:39:17
raw\user5\s20260528_221649\0092.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:39:18
raw\user5\s20260528_221649\0093.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:39:18
raw\user5\s20260528_221649\0094.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:39:26
raw\user5\s20260528_221649\0095.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:39:26
raw\user5\s20260528_221649\0096.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:39:27
raw\user5\s20260528_221649\0097.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:39:36
raw\user5\s20260528_221649\0098.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:39:36
raw\user5\s20260528_221649\0099.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:39:37
raw\user5\s20260528_221649\0100.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:40:57
raw\user5\s20260528_221649\0101.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:40:58
raw\user5\s20260528_221649\0102.jpg,user5,s20260528_221649,posed,neutral,2026-05-28T22:40:58
raw\user5\s20260528_221649\0103.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:41:01
raw\user5\s20260528_221649\0104.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:41:02
raw\user5\s20260528_221649\0105.jpg,user5,s20260528_221649,posed,happiness,2026-05-28T22:41:02
raw\user5\s20260528_221649\0106.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:41:06
raw\user5\s20260528_221649\0107.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:41:06
raw\user5\s20260528_221649\0108.jpg,user5,s20260528_221649,posed,surprise,2026-05-28T22:41:07
raw\user5\s20260528_221649\0109.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:41:11
raw\user5\s20260528_221649\0110.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:41:11
raw\user5\s20260528_221649\0111.jpg,user5,s20260528_221649,posed,sadness,2026-05-28T22:41:11
raw\user5\s20260528_221649\0112.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:41:20
raw\user5\s20260528_221649\0113.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:41:20
raw\user5\s20260528_221649\0114.jpg,user5,s20260528_221649,posed,anger,2026-05-28T22:41:20
raw\user5\s20260528_221649\0115.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:41:34
raw\user5\s20260528_221649\0116.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:41:35
raw\user5\s20260528_221649\0117.jpg,user5,s20260528_221649,posed,disgust,2026-05-28T22:41:35
raw\user5\s20260528_221649\0118.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:41:42
raw\user5\s20260528_221649\0119.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:41:42
raw\user5\s20260528_221649\0120.jpg,user5,s20260528_221649,posed,fear,2026-05-28T22:41:43
raw\user5\s20260528_221649\0121.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:41:57
raw\user5\s20260528_221649\0122.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:41:58
raw\user5\s20260528_221649\0123.jpg,user5,s20260528_221649,posed,contempt,2026-05-28T22:41:58
